일련번호,인명피해수,재산피해금액,소방서명,서센터명,소방지역대명,화재발생일자,화재발생시간,접수일자,접수시각,출동일자,출동시각,현장도착일자,현장도착시각,초진일자,초진시각,완진일자,완진시간,출동소요시간,화재진압시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,시군구명,읍면동명,시설장소소분류명,화재유형명,발화지점,발화원인,발화요인대분류명,전체인력수합계,동원장비수,날씨,온도,습도,시간단위풍속,시간단위풍향,특보내용
1,0,0,강릉소방서,경포119안전센터,,20110122,233500,20110122,233511,20110122,233615,20110122,235315,20110123,121115,20110123,1115,1700,1800,9,9,0,강릉시,죽헌동,사유림,임야,산정상,기타,방화의심,37,8,맑음,-1,30,45,8,
2,0,184330,양양소방서,하조대119안전센터,,20110131,181300,20110131,181311,20110131,181409,20110131,183024,20110201,94538,20110201,103016,1615,155952,43,13,0,양양군,현남면,사유림,임야,산아래,기타,부주의,1872,71,맑음,1,10,225,8,건조경보
3,0,0,강릉소방서,경포119안전센터,,20110201,210700,20110201,210710,20110201,210826,20110201,211500,20110201,102300,20110201,223800,634,12300,7,6,0,강릉시,대전동,사유림,임야,산정상,기타,방화의심,184,15,맑음,1,550,135,4,
4,0,4864,홍천소방서,서석119안전센터,내촌119지역대,20110211,175000,20110211,175032,20110211,175220,20110211,181500,20110211,74100,20110211,202000,2240,20500,37,37,7,홍천군,내촌면,국유림,임야,산중턱,입산자실화,기타,171,9,구름많음,-2,29,225,4,
5,0,50,원주소방서,흥업119안전센터,귀래119지역대,20110212,61800,20110212,61836,20110212,62010,20110212,64029,20110212,82038,20110212,103038,2019,35009,20,20,8,원주시,귀래면,사유림,임야,산중턱,모닥불,부주의,94,9,구름많음,-6,44,225,4,
6,0,440,원주소방서,태장119안전센터,,20110226,164200,20110226,164234,20110226,164353,20110226,164901,20110226,52601,20110226,172726,508,3825,8,2,0,원주시,태장동,사유림,임야,산정상,담뱃불,부주의,46,8,맑음,14,23,180,4,
7,0,600,영월소방서,영월119안전센터,,20110309,131800,20110309,131855,20110309,131916,20110309,132916,20110309,50016,20110309,200016,1000,63100,9,9,8,영월군,영월읍,국유림,임야,산아래,기타,부주의,204,26,맑음,1,19,225,8,
8,0,0,횡성소방서,우천119안전센터,,20110311,134200,20110311,134249,20110311,134334,20110311,140409,20110311,21746,20110311,151737,2035,11328,17,10,0,횡성군,우천면,사유림,임야,산정상,입산자실화,부주의,214,10,맑음,5,43,225,4,
9,0,64,영월소방서,영월119안전센터,,20110314,193500,20110314,193519,20110314,193540,20110314,195222,20110314,90022,20110314,230622,1642,31400,9,9,7,영월군,영월읍,사유림,임야,산아래,미상,미상,116,5,맑음,4,67,45,4,
10,0,3264,홍천소방서,홍천119안전센터,,20110318,115800,20110318,115807,20110318,115900,20110318,120327,20110318,123300,20110318,124800,427,4433,6,6,0,홍천군,홍천읍,사유림,임야,산정상,입산자실화,기타,88,15,맑음,9,21,315,4,
